,date,open,high,low,close,adj_close,volume,stock
134,1962-04-13,5.76556304522923,1.6640625,1.63671875,1.6640625,0.014833182096481323,710400,XOM
135,1962-04-19,5.76556304522923,0.21875,0.21759259700775146,0.21875,6.16587328750029e-07,172800,JNJ
136,1962-12-03,5.76556304522923,0.17303240299224854,0.17071759700775146,0.17071759700775146,4.860010562879324e-07,432000,JNJ
137,1962-05-08,0.09446313232183456,0.09490662068128586,0.09401964396238327,0.09446313232183456,0.005239254795014858,535500,HPQ
138,1962-05-08,0.2454427033662796,0.2486979216337204,0.2425130158662796,0.2425130158662796,0.003932635299861431,1190400,KO
139,1962-10-11,5.76556304522923,6.90625,6.8125,6.8125,1.2085356712341309,28400,GT
140,1962-01-03,5.76556304522923,3.3035714626312256,3.2738094329833984,3.2886905670166016,0.05187510699033737,126400,CVX
141,1962-05-31,0.07981391251087189,0.0823080986738205,0.07981391251087189,0.07981391251087189,0.03059057891368866,2880400,DIS
142,1962-08-10,5.76556304522923,234.375,233.125,234.375,107.21625518798828,1200,NAV
143,1962-04-16,0.7839506268501282,0.7880658507347107,0.7674897313117981,0.7716049551963806,0.13788336515426636,303600,BA
144,1962-08-28,5.76556304522923,27.6875,27.1875,27.1875,0.46283867955207825,3600,DTE
145,1962-08-03,0.07317566126585007,0.07317566126585007,0.07273217290639877,0.07317566126585007,0.004058573395013809,817300,HPQ
146,1962-04-19,5.76556304522923,0.1501736044883728,0.1484375,0.1501736044883728,0.00018551968969404697,979200,MO
147,1962-04-25,5.76556304522923,3.578869104385376,3.549107074737549,3.578869104385376,0.05697498470544815,161600,CVX
148,1962-06-07,4.9066667556762695,4.986666679382324,4.9066667556762695,4.933333396911621,0.3999716639518738,1227200,IBM
149,1962-06-07,5.76556304522923,0.17824074625968933,0.17476852238178253,0.1770833283662796,5.005757657272625e-07,259200,JNJ
150,1962-02-19,0.9074074029922485,0.9156378507614136,0.8991769552230835,0.903292179107666,0.1614154428243637,619400,BA
151,1962-02-13,5.855309963226318,5.915384769439697,5.855309963226318,5.8633198738098145,1.3863292932510376,62500,AA
152,1962-02-09,1.7135416269302368,1.71875,1.6927083730697632,1.6927083730697632,0.14540089666843414,115200,CAT
153,1962-02-28,5.7158918380737305,5.83302116394043,5.669040679931641,5.669040679931641,1.3157941102981567,51200,ARNC
154,1962-04-04,1.6666666269302368,1.6822916269302368,1.6614583730697632,1.671875,0.1436113566160202,115200,CAT
155,1962-09-28,0.0,0.15914352238178253,0.15740740299224854,0.15914352238178253,4.514184013260092e-07,0,JNJ
156,1962-04-09,0.7599659562110901,0.7624699473381042,0.7574619650840759,0.758713960647583,0.0018170224502682686,1188000,GE
157,1962-01-05,5.76556304522923,0.1953125,0.1840277761220932,0.1892361044883728,0.00023162183060776442,2937600,MO
158,1962-09-27,0.06609589606523514,0.06609589606523514,0.06547234952449799,0.06547234952449799,0.025261808186769485,194600,DIS
159,1962-10-17,5.76556304522923,0.99609375,0.9609375,0.982421875,0.00947391428053379,556800,PG
160,1962-10-08,5.76556304522923,0.15856482088565826,0.15856482088565826,0.15856482088565826,4.4977733182349766e-07,43200,JNJ
161,1962-04-12,5.76556304522923,6.708333492279053,6.520833492279053,6.520833492279053,0.8479463458061218,27600,FL
162,1962-11-05,5.76556304522923,6.647136211395264,6.435636520385742,6.586707592010498,0.5920300483703613,99700,IP
163,1962-12-21,5.228333473205566,5.246666431427002,5.136666774749756,5.136666774749756,0.41662660241127014,899200,IBM
164,1962-06-07,5.76556304522923,6.919064521789551,6.7982072830200195,6.7982072830200195,0.6050328612327576,60000,IP
165,1962-02-02,5.76556304522923,7.0,6.927083492279053,6.96875,0.9061923623085022,19200,FL
166,1962-02-07,0.7436898946762085,0.7512019276618958,0.7411859035491943,0.7512019276618958,0.0017875520279631019,1687200,GE
167,1962-09-12,0.07420200109481812,0.07420200109481812,0.07420200109481812,0.07420200109481812,0.028630048036575317,38900,DIS
168,1962-10-01,1.3020833730697632,1.3177083730697632,1.3020833730697632,1.3072916269302368,0.1139000952243805,105600,CAT
169,1962-04-24,5.76556304522923,10.78125,10.65625,10.6875,1.869447112083435,21600,GT
170,1962-01-31,5.76556304522923,8.218276977539062,8.12763500213623,8.188063621520996,0.7175202369689941,79400,IP
171,1962-10-31,5.76556304522923,231.875,227.5,231.875,107.45921325683594,700,NAV
172,1962-10-09,0.6760817170143127,0.6785857081413269,0.6710737347602844,0.6785857081413269,0.0016498684417456388,1198000,GE
173,1962-01-29,0.1197419986128807,0.1197419986128807,0.11796803772449493,0.11796803772449493,0.0065429192036390305,197200,HPQ
174,1962-03-14,0.2444661408662796,0.2454427033662796,0.2434895783662796,0.2447916716337204,0.003969587851315737,1689600,KO
175,1962-12-21,1.4895833730697632,1.5208333730697632,1.4791666269302368,1.5208333730697632,0.1335209608078003,398400,CAT
176,1962-02-12,1.6927083730697632,1.6979166269302368,1.671875,1.6979166269302368,0.14584825932979584,98400,CAT
177,1962-02-07,0.09477902203798294,0.09602611511945724,0.09477902203798294,0.09540256857872009,0.036470718681812286,1401300,DIS
178,1962-09-06,0.654321014881134,0.6625514626502991,0.654321014881134,0.6563786268234253,0.12010178714990616,376400,BA
179,1962-05-07,5.76556304522923,9.75,9.640625,9.6875,0.2217927724123001,13600,ED
180,1962-05-07,5.76556304522923,0.2135416716337204,0.2118055522441864,0.21296297013759613,6.002755412737315e-07,129600,JNJ
181,1962-07-25,5.338665008544922,5.338665008544922,5.206500053405762,5.32264518737793,1.2652312517166138,60500,AA
182,1962-05-02,5.76556304522923,6.354166507720947,6.28125,6.291666507720947,0.8248417377471924,19200,FL
183,1962-05-17,0.08043745905160904,0.08043745905160904,0.07856682687997818,0.07919036597013474,0.03035159781575203,272400,DIS
184,1962-09-10,5.5753374099731445,5.5987629890441895,5.5284857749938965,5.5753374099731445,1.307421326637268,15600,ARNC
185,1962-09-04,5.76556304522923,0.1223958358168602,0.1215277761220932,0.1215277761220932,0.0001520767982583493,518400,MO
186,1962-01-02,0.09290838986635208,0.09602611511945724,0.09290838986635208,0.09290838986635208,0.03551724553108215,817400,DIS
